name,full_name,owner,html_url,description,language,stars,forks,watchers,open_issues,created_at,updated_at
prompts.chat,f/prompts.chat,f,https://github.com/f/prompts.chat,"f.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy.",HTML,156386,20532,156386,38,2022-12-05T13:54:13Z,2026-04-02T08:29:24Z
FreeDomain,DigitalPlatDev/FreeDomain,DigitalPlatDev,https://github.com/DigitalPlatDev/FreeDomain,DigitalPlat FreeDomain: Free Domain For Everyone,HTML,155327,2648,155327,30,2024-05-30T13:23:00Z,2026-04-02T08:25:40Z
JavaGuide,Snailclimb/JavaGuide,Snailclimb,https://github.com/Snailclimb/JavaGuide,Java 面试 & 后端通用面试指南，覆盖计算机基础、数据库、分布式、高并发、系统设计与 AI 应用开发,Java,154597,46138,154597,67,2018-05-07T13:27:00Z,2026-04-02T07:49:02Z
yt-dlp,yt-dlp/yt-dlp,yt-dlp,https://github.com/yt-dlp/yt-dlp,A feature-rich command-line audio/video downloader,Python,154391,12573,154391,2430,2020-10-26T04:22:55Z,2026-04-02T08:12:34Z
HelloGitHub,521xueweihan/HelloGitHub,521xueweihan,https://github.com/521xueweihan/HelloGitHub,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",Python,148442,11287,148442,321,2016-05-04T06:24:11Z,2026-04-02T08:22:25Z
javascript,airbnb/javascript,airbnb,https://github.com/airbnb/javascript,JavaScript Style Guide,JavaScript,148111,26745,148111,189,2012-11-01T23:13:50Z,2026-04-02T07:41:19Z
langflow,langflow-ai/langflow,langflow-ai,https://github.com/langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,Python,146485,8683,146485,955,2023-02-08T22:28:03Z,2026-04-02T08:25:05Z
youtube-dl,ytdl-org/youtube-dl,ytdl-org,https://github.com/ytdl-org/youtube-dl,Command-line program to download videos from YouTube.com and other video sites,Python,139960,10605,139960,4121,2010-10-31T14:35:07Z,2026-04-02T08:12:07Z
next.js,vercel/next.js,vercel,https://github.com/vercel/next.js,The React Framework,JavaScript,138567,30748,138567,3644,2016-10-05T23:32:51Z,2026-04-02T08:12:16Z
tech-interview-handbook,yangshun/tech-interview-handbook,yangshun,https://github.com/yangshun/tech-interview-handbook,Curated coding interview preparation materials for busy software engineers,TypeScript,138496,16489,138496,45,2016-07-05T05:00:48Z,2026-04-02T08:13:07Z
scrcpy,Genymobile/scrcpy,Genymobile,https://github.com/Genymobile/scrcpy,Display and control your Android device,C,137898,12849,137898,2769,2017-11-21T18:00:27Z,2026-04-02T08:24:47Z
dify,langgenius/dify,langgenius,https://github.com/langgenius/dify,Production-ready platform for agentic workflow development.,TypeScript,135442,21104,135442,808,2023-04-12T07:40:24Z,2026-04-02T08:25:12Z
opencode,anomalyco/opencode,anomalyco,https://github.com/anomalyco/opencode,The open source coding agent.,TypeScript,135264,14653,135264,6216,2025-04-30T20:08:00Z,2026-04-02T08:29:32Z
