name,full_name,owner,html_url,description,language,stars,forks,watchers,open_issues,created_at,updated_at,repo_age_days
the-art-of-command-line,jlevy/the-art-of-command-line,jlevy,https://github.com/jlevy/the-art-of-command-line,"Master the command line, in one page",Unknown,160478,14791,160478,256,2015-05-20 15:11:03+00:00,2026-04-02 06:57:49+00:00,3969
transformers,huggingface/transformers,huggingface,https://github.com/huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",Python,158673,32709,158673,2334,2018-10-29 13:56:00+00:00,2026-04-02 08:21:30+00:00,2711
prompts.chat,f/prompts.chat,f,https://github.com/f/prompts.chat,"f.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy.",HTML,156386,20532,156386,38,2022-12-05 13:54:13+00:00,2026-04-02 08:29:24+00:00,1213
FreeDomain,DigitalPlatDev/FreeDomain,DigitalPlatDev,https://github.com/DigitalPlatDev/FreeDomain,DigitalPlat FreeDomain: Free Domain For Everyone,HTML,155327,2648,155327,30,2024-05-30 13:23:00+00:00,2026-04-02 08:25:40+00:00,671
JavaGuide,Snailclimb/JavaGuide,Snailclimb,https://github.com/Snailclimb/JavaGuide,Java 面试 & 后端通用面试指南，覆盖计算机基础、数据库、分布式、高并发、系统设计与 AI 应用开发,Java,154597,46138,154597,67,2018-05-07 13:27:00+00:00,2026-04-02 07:49:02+00:00,2886
yt-dlp,yt-dlp/yt-dlp,yt-dlp,https://github.com/yt-dlp/yt-dlp,A feature-rich command-line audio/video downloader,Python,154391,12573,154391,2430,2020-10-26 04:22:55+00:00,2026-04-02 08:12:34+00:00,1984
HelloGitHub,521xueweihan/HelloGitHub,521xueweihan,https://github.com/521xueweihan/HelloGitHub,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",Python,148442,11287,148442,321,2016-05-04 06:24:11+00:00,2026-04-02 08:22:25+00:00,3620
javascript,airbnb/javascript,airbnb,https://github.com/airbnb/javascript,JavaScript Style Guide,JavaScript,148111,26745,148111,189,2012-11-01 23:13:50+00:00,2026-04-02 07:41:19+00:00,4899
langflow,langflow-ai/langflow,langflow-ai,https://github.com/langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,Python,146485,8683,146485,955,2023-02-08 22:28:03+00:00,2026-04-02 08:25:05+00:00,1148
youtube-dl,ytdl-org/youtube-dl,ytdl-org,https://github.com/ytdl-org/youtube-dl,Command-line program to download videos from YouTube.com and other video sites,Python,139960,10605,139960,4121,2010-10-31 14:35:07+00:00,2026-04-02 08:12:07+00:00,5631
next.js,vercel/next.js,vercel,https://github.com/vercel/next.js,The React Framework,JavaScript,138567,30748,138567,3644,2016-10-05 23:32:51+00:00,2026-04-02 08:12:16+00:00,3465
tech-interview-handbook,yangshun/tech-interview-handbook,yangshun,https://github.com/yangshun/tech-interview-handbook,Curated coding interview preparation materials for busy software engineers,TypeScript,138496,16489,138496,45,2016-07-05 05:00:48+00:00,2026-04-02 08:13:07+00:00,3558
scrcpy,Genymobile/scrcpy,Genymobile,https://github.com/Genymobile/scrcpy,Display and control your Android device,C,137898,12849,137898,2769,2017-11-21 18:00:27+00:00,2026-04-02 08:24:47+00:00,3053
dify,langgenius/dify,langgenius,https://github.com/langgenius/dify,Production-ready platform for agentic workflow development.,TypeScript,135442,21104,135442,808,2023-04-12 07:40:24+00:00,2026-04-02 08:25:12+00:00,1086
opencode,anomalyco/opencode,anomalyco,https://github.com/anomalyco/opencode,The open source coding agent.,TypeScript,135264,14653,135264,6216,2025-04-30 20:08:00+00:00,2026-04-02 08:29:32+00:00,336
